Property Name,Country,Area,Location,GPS Coordinates,Primary Photo,Subheadline,Header,Description,Tags,Photos
Zentis Osaka,Japan,Osaka,Zentis Osaka,"34.695744,135.496394",,,Property Overview,"","",
YUI Ishiya,Japan,Naoshima,YUI Ishiya,"34.486435,134.061338",https://media.safariportal.app/store/asset/2119324/file/9bdc93c80738fb9ae4f0d4a958e066e1.jpg,,Property Overview,"Yui Teshima’s Ishi-ya on Teshima Island is a design-oriented lodge that blends understated comfort with the island’s calm rhythms. The property is part of the Yui network, conceived to create thoughtful spaces where architecture, landscape, and everyday life coexist; Ishi-ya reflects this ethos through its simple forms, natural materials, and unobtrusive presence within the village.

Guest rooms are uncluttered and quietly detailed, each oriented to capture light and seasonal change while maintaining a direct connection to Teshima’s streets and shoreline. Shared spaces such as lounges and outdoor seating areas support relaxed time between art visits, cycling routes, or coastal walks. The experience emphasizes ease and rootedness, offering a base that feels neither transient nor anonymous amid Teshima’s slow, lived environment.",Naoshima,https://media.safariportal.app/store/asset/2119325/file/8771fe70e5085ea5792369da8f447970.jpg
Kamikochi Imperial Hotel,Japan,Kamikochi,kamikochi,"36.248754,137.638065",https://media.safariportal.app/store/asset/2053427/file/99469d7834c2011dc67e51ad4d999c0a.png,,Property Overview,"The Kamikochi Imperial Hotel is a luxurious accommodation nestled in the stunning natural landscape of Kamikochi, Japan. This hotel is renowned for its beautiful surroundings, offering guests a unique experience where nature and comfort meet. 

Situated in the heart of the Japanese Alps, the hotel provides breathtaking views of the surrounding mountains and pristine rivers. The architecture of the hotel harmonizes with the natural environment, creating a peaceful retreat for travelers seeking relaxation and adventure alike.

Guests at the Kamikochi Imperial Hotel can enjoy a range of amenities, including elegantly designed rooms, fine dining options featuring local cuisine, and access to various recreational activities. The hotel is an ideal base for exploring the Kamikochi area, which is famous for its hiking trails, scenic walks, and opportunities for wildlife viewing. 

Kamikochi itself is a part of the Chubu Sangaku National Park, making it a perfect destination for outdoor enthusiasts. Visitors can hike to iconic spots such as the Kappa Bridge or venture deeper into the mountains for more challenging trails. The area is also known for its seasonal beauty, with vibrant autumn foliage and lush greenery in the summer.","",
Candeo The Tower,Japan,Osaka,Candeo The Tower,"34.695432,135.500521",https://media.safariportal.app/store/asset/2156880/file/028e77c19f4793e25ae48b01717de64c.jpg,,Property Overview,"Candeo The Tower is a modern hotel located in the vibrant city of Osaka, Japan. Known for its sleek design and contemporary amenities, this hotel offers a comfortable stay for both business and leisure travelers. Guests can enjoy spacious rooms equipped with modern conveniences, ensuring a relaxing environment after a day of exploring the city.

One of the standout features of Candeo The Tower is its impressive panoramic views of Osaka, especially from the upper floors. The hotel also boasts a public bath and sauna, providing a unique opportunity to unwind and experience a traditional Japanese onsen atmosphere.

Situated in a prime location, Candeo The Tower allows easy access to popular attractions in Osaka. The bustling Dotonbori district, famous for its neon lights and street food, is just a short distance away. Visitors can also explore the historic Osaka Castle, enjoy shopping in the Namba area, or take a stroll through the beautiful Osaka Castle Park.","",https://media.safariportal.app/store/asset/2156881/file/6d882a1e36a84587e78c8a9f189882aa.jpg
The Aoyama Grand,Japan,Tokyo,the aoyama grand,"35.66952,139.715796",https://media.safariportal.app/store/asset/2056402/file/756449c4bcaed33d79714151ae37a2f4.jpg,,Property Overview,"The Aoyama Grand Hotel, located in the vibrant Aoyama district of Tokyo, is a premier destination for travelers seeking luxury and convenience. Aoyama is known for its stylish boutiques, art galleries, and trendy cafes, making it a perfect spot for those who appreciate modern culture and aesthetics.

This upscale hotel offers guests a blend of comfort and sophistication, with elegantly designed rooms that provide a peaceful retreat from the bustling city. Visitors can enjoy a range of amenities, including fine dining options that showcase both local and international cuisine, as well as wellness facilities to unwind after a day of exploration.

The hotel's prime location allows easy access to some of Tokyo's most famous attractions. Just a short distance away, guests can visit the tranquil Yoyogi Park, the iconic Meiji Shrine, and the fashionable Omotesando shopping street, known for its architectural beauty and high-end brands. Additionally, the nearby Harajuku area offers a glimpse into Japan's unique youth culture, with quirky shops and vibrant street fashion.","",https://media.safariportal.app/store/asset/2056405/file/bf9749cbae66f46698aed5947c83f8fd.jpg
Ekoin,Japan,Koyasan,Ekoin,"34.212317,135.593801",https://media.safariportal.app/store/asset/2056430/file/b1c092ef381b95b1c939a9465cb4c10d.png,,Property Overview,"","",
The Sequence,Japan,Tokyo,The Sequence Miyashita,"35.663311,139.701884",https://media.safariportal.app/store/asset/2058213/file/27fef2149d30464659ffcbee88a2edc7.png,,Property Overview,"The Sequence Miyashita Park is an exciting destination located in the heart of Tokyo, Japan. This vibrant area is not only a property but also a gateway to the dynamic lifestyle and culture that Tokyo has to offer. 

Miyashita Park itself is a modern urban park that combines greenery with contemporary amenities. It features a spacious area for relaxation, outdoor activities, and various dining options. Visitors can enjoy the beautifully designed landscape while taking in the lively atmosphere of the city.

Nearby, you can explore the trendy shopping district of Shibuya, known for its iconic Shibuya Crossing and a multitude of shops, cafes, and entertainment venues. The area is a hub for fashion and youth culture, making it a great spot for those looking to experience Tokyo's vibrant lifestyle.","",https://media.safariportal.app/store/asset/2100633/file/76e55eda269b1957afaba3cd44017cfc.jpg
Hakone Retreat Villa,Japan,Hakone,Hakone Retreat Villa,"35.267625,139.020031",https://media.safariportal.app/store/asset/2058251/file/396153dd82c9bc7752ab991c5a56bffc.png,,Property Overview,"Hakone Retreat Villa 1/f presents an exquisite escape nestled within the tranquil landscapes of Hakone, Japan. This luxurious resort features 11 exclusive private villas, each equipped with its own onsen, inviting guests to indulge in a rejuvenating experience surrounded by nature. The journey to this serene haven is a delight in itself, easily accessible from Tokyo via the Odakyu Romance Car or Shinkansen, followed by a picturesque bus ride.

The design of the villas embodies a charming log cabin aesthetic, complete with high ceilings and expansive windows that frame breathtaking views of lush bamboo groves. Modern furnishings, a Bluetooth audio system, and a cozy wood stove enhance the ambiance, ensuring an intimate retreat. Guests can expect exceptional service, making every moment spent at Hakone Retreat Villa 1/f a memorable indulgence in comfort and tranquility.","",https://media.safariportal.app/store/asset/2123906/file/b6aeab6748c5a581f4d3d53cf43dee35.jpg
Onomichi Club,Japan,Onomichi,Onomichi Club,"34.408882,133.19574",https://media.safariportal.app/store/asset/2060792/file/c11f3ab5bce1e144268d400a4d729b03.jpg,,Property Overview,"Nestled in the charming town of Onomichi, the Onomichi Club offers family-friendly accommodations featuring stunning sea views, private balconies, and ensuite bathrooms. 

Each room is equipped with modern conveniences such as air-conditioning, a refrigerator, slippers, and an electric kettle for your comfort.

The hotel features a restaurant serving Japanese, local, and European cuisines. Guests can enjoy lunch and dinner in a welcoming ambiance. The inviting atmosphere is perfect for lunch and dinner, and don’t miss the opportunity to start your day with an Asian breakfast that showcases local specialties.

Onomichi Club provides free WiFi, a bar, public bath, elevator, daily housekeeping, coffee shop, full-day security, bicycle parking, and luggage storage. Free on-site private parking is also available. 

Just a short 7-minute stroll will take you to the beautiful Senkoji Temple, while the Saikokuji Temple and MOU Onomichi City University Art Museum are both within 1.2 miles. For those traveling from afar, Hiroshima Airport is located 23 miles from the hotel, making it easily accessible for your next getaway.","",https://media.safariportal.app/store/asset/2060790/file/923d5e956583e60cfebba33efdbf6f08.jpg
Lemonsea Onomichi,Japan,Onomichi,Lemonsea Onomichi,"34.405283,133.186972",https://media.safariportal.app/store/asset/2060829/file/96b0d235cd3f24ae629d09e1c931704a.jpg,,Property Overview,"Lemonsea Onomichi invites guests to experience the charm of a tranquil retreat nestled in the heart of Onomichi, Japan. With its prime location just a 10-minute walk from Onomichi Station, this delightful hotel serves as the perfect base for exploring the scenic Shimanami Kaido and the area’s historic temples.

The property’s thoughtful design, featuring handmade wooden furniture and a warm aesthetic, creates a welcoming atmosphere that feels like home.

Guests will appreciate the array of amenities designed for comfort and convenience. The cozy bar/lounge offers a relaxed setting for evenings spent unwinding, while the rooftop terrace provides stunning views  for enjoying a morning coffee.","",https://media.safariportal.app/store/asset/2060831/file/1ee98e27b4f86a8d25af373a63590cd3.jpg
Uno Hotel,Japan,Tamano,Uno Hotel,"34.494265,133.954431",https://media.safariportal.app/store/asset/466396/file/45b21000cb2be441846e66741acc2a83.jpg,,Property Overview,"Just a one-minute walk from Uno Station and a 3-minute walk from Uno Port, Uno Hotel's convenient location as a base for sightseeing in Setouchi expands your travel possibilities. The biggest feature of the hotel is ""casual luxury."" This is a unique lifestyle hotel that combines a homely casual atmosphere with extraordinary and slightly extravagant luxury. The design is natural and modern, creating a calming atmosphere with subtle Japanese touches.

Uno has incorporated elements typical of Setouchi and Okayama into motifs throughout the furniture and accessories, creating rooms that will help you stay active and prepare your mind and body during your trip. 

Ocean view rooms have balconies where you can enjoy the sea air, views, and pleasant sunlight, creating a peaceful space. In addition, at Restaurant BLUNO, you can enjoy a casual and unpretentious meal, focusing on seasonal ingredients that are rooted in the Setouchi Inland Sea.","",https://media.safariportal.app/store/asset/466397/file/0d40dfb5a9950d3eb33b75767af9e495.jpg
