October 20
Day 1-5	Heda-Ito	Own arrangement
6	Kyoto	Evening shinkansen Atami-Kyoto
7	Kyoto	Guided tour Kyoto (including Nijo-jo Castle, Kinkakuji, Fushimi Inari Shrine...)
8	Kyoto	Free day (go to Nara or Osaka)
9	Okayama	Morning free time Kyoto; evening go to Okayama
10	Naoshima	Visit Naoshima; lunch in Benesse restaurant & visit
11	Okayama	Visit Naoshima
12	Tokyo	Morning visit Okayama - evening train to Tokyo
13	Tokyo	Guided tour old Tokyo (Asakusa, Senso-JI, Imperial Palace, gardens Palace!)
14	Tokyo	Sumo experience/practice & free day
15	Tokyo	Free day
16	Flight back
